classifier,TP,TN,FP,FN,accuracy,sensitivity,specificity,kappa,f1_weighted
RandomForest,20,30,2,3,0.9090909090909091,0.8695652173913043,0.9375,0.8120300751879699,0.9087801087801087
Bagging,20,30,2,3,0.9090909090909091,0.8695652173913043,0.9375,0.8120300751879699,0.9087801087801087
HistGB,19,30,2,4,0.8909090909090909,0.8260869565217391,0.9375,0.7730398899587344,0.8900826446280992
XGBoost,19,29,3,4,0.8727272727272727,0.8260869565217391,0.90625,0.7368421052631579,0.8722921522921522
KNN,18,30,2,5,0.8727272727272727,0.782608695652174,0.9375,0.7335640138408304,0.8711369158436149
Stacking,19,29,3,4,0.8727272727272727,0.8260869565217391,0.90625,0.7368421052631579,0.8722921522921522
ExtraTrees,18,29,3,5,0.8545454545454545,0.782608695652174,0.90625,0.6973865199449792,0.8534435261707989
MLP,18,29,3,5,0.8545454545454545,0.782608695652174,0.90625,0.6973865199449792,0.8534435261707989
SVM,18,28,4,5,0.8363636363636363,0.782608695652174,0.875,0.6616541353383457,0.8358041958041958
AdaBoost,18,28,4,5,0.8363636363636363,0.782608695652174,0.875,0.6616541353383457,0.8358041958041958
LogReg_EN,18,28,4,5,0.8363636363636363,0.782608695652174,0.875,0.6616541353383457,0.8358041958041958
LogReg_L1,18,27,5,5,0.8181818181818182,0.782608695652174,0.84375,0.6263586956521741,0.8181818181818182
LogReg_L2,18,27,5,5,0.8181818181818182,0.782608695652174,0.84375,0.6263586956521741,0.8181818181818182
GaussianNB,17,26,6,6,0.7818181818181819,0.7391304347826086,0.8125,0.5516304347826088,0.7818181818181819
QDA,15,22,10,8,0.6727272727272727,0.6521739130434783,0.6875,0.33557046979865773,0.674266862170088
